Noun,Distance,Concord
family,1,plural
family,1,plural
family,1,plural
family,1,plural
family,1,plural
family,1,plural
family,1,plural
family,1,plural
family,1,plural
family,1,plural
family,1,plural
family,1,plural
family,2,plural
family,2,plural
family,2,plural
family,2,plural
family,2,plural
family,2,plural
family,2,plural
family,2,plural
family,2,plural
family,3,plural
family,3,plural
family,3,plural
family,3,plural
family,3,plural
family,3,plural
family,3,plural
family,3,plural
family,3,plural
family,3,plural
family,4,plural
family,4,plural
family,4,plural
family,4,plural
family,4,plural
family,4,plural
family,4,plural
family,4,plural
family,4,plural
family,4,plural
family,4,plural
family,4,plural
family,5,plural
family,5,plural
family,5,plural
family,5,plural
family,5,plural
family,5,plural
family,5,plural
family,5,plural
family,5,plural
family,5,plural
family,5,plural
family,5,plural
family,5,plural
family,5,plural
family,5,plural
family,5,plural
family,5,plural
family,6,plural
family,6,plural
family,6,plural
family,6,plural
family,6,plural
family,6,plural
family,6,plural
family,6,plural
family,6,plural
family,7,plural
family,7,plural
family,7,plural
family,7,plural
family,7,plural
family,7,plural
family,7,plural
family,7,plural
family,7,plural
family,7,plural
family,7,plural
family,7,plural
family,7,plural
family,7,plural
family,7,plural
family,7,plural
family,7,plural
family,7,plural
family,8,plural
family,8,plural
family,8,plural
family,8,plural
family,8,plural
family,8,plural
family,8,plural
family,8,plural
family,9,plural
family,9,plural
family,9,plural
family,9,plural
family,9,plural
family,9,plural
family,10,plural
family,10,plural
family,10,plural
family,1,singular
family,1,singular
family,2,singular
family,2,singular
family,2,singular
family,2,singular
family,2,singular
family,3,singular
family,3,singular
family,3,singular
family,3,singular
family,3,singular
family,3,singular
family,3,singular
family,3,singular
family,4,singular
family,4,singular
family,5,singular
family,5,singular
family,5,singular
family,5,singular
family,5,singular
family,6,singular
family,6,singular
family,6,singular
family,6,singular
family,7,singular
family,7,singular
family,7,singular
family,7,singular
family,7,singular
family,8,singular
family,9,singular
