Noun,Distance,Concord
government,0,plural
government,1,plural
government,1,plural
government,1,plural
government,1,plural
government,1,plural
government,1,plural
government,1,plural
government,2,plural
government,2,plural
government,2,plural
government,2,plural
government,2,plural
government,2,plural
government,8,plural
government,2,plural
government,2,plural
government,2,plural
government,2,plural
government,2,plural
government,2,plural
government,2,plural
government,2,plural
government,2,plural
government,2,plural
government,2,plural
government,2,plural
government,2,plural
government,2,plural
government,2,plural
government,3,plural
government,3,plural
government,3,plural
government,3,plural
government,3,plural
government,3,plural
government,3,plural
government,3,plural
government,3,plural
government,3,plural
government,3,plural
government,3,plural
government,3,plural
government,3,plural
government,3,plural
government,3,plural
government,3,plural
government,4,plural
government,4,plural
government,4,plural
government,4,plural
government,4,plural
government,4,plural
government,4,plural
government,4,plural
government,4,plural
government,4,plural
government,4,plural
government,4,plural
government,4,plural
government,4,plural
government,4,plural
government,4,plural
government,4,plural
government,4,plural
government,4,plural
government,4,plural
government,4,plural
government,5,plural
government,5,plural
government,5,plural
government,5,plural
government,5,plural
government,5,plural
government,5,plural
government,5,plural
government,5,plural
government,5,plural
government,5,plural
government,6,plural
government,6,plural
government,6,plural
government,6,plural
government,6,plural
government,6,plural
government,7,plural
government,7,plural
government,7,plural
government,7,plural
government,7,plural
government,7,plural
government,7,plural
government,7,plural
government,7,plural
government,7,plural
government,7,plural
government,7,plural
government,7,plural
government,7,plural
government,7,plural
government,7,plural
government,7,plural
government,7,plural
government,8,plural
government,8,plural
government,8,plural
government,8,plural
government,8,plural
government,8,plural
government,8,plural
government,8,plural
government,8,plural
government,8,plural
government,9,plural
government,9,plural
government,9,plural
government,9,plural
government,9,plural
government,9,plural
government,9,plural
government,9,plural
government,9,plural
government,9,plural
government,9,plural
government,10,plural
government,10,plural
government,10,plural
government,10,plural
government,10,plural
government,10,plural
government,10,plural
government,7,plural 
government,1,singular
government,0,singular
government,1,singular
government,0,singular
government,6,singular
government,5,singular
government,1,singular
government,1,singular
government,10,singular
government,1,singular
government,4,singular
government,2,singular
government,2,singular
government,1,singular
government,1,singular
government,1,singular
government,1,singular
government,1,singular
government,1,singular
government,1,singular
government,1,singular
government,1,singular
government,1,singular
government,1,singular
government,1,singular
government,1,singular
government,1,singular
government,1,singular
government,1,singular
government,1,singular
government,1,singular
government,1,singular
government,1,singular
government,1,singular
government,1,singular
government,1,singular
government,1,singular
government,1,singular
government,1,singular
government,1,singular
government,1,singular
government,1,singular
government,1,singular
government,1,singular
government,1,singular
government,1,singular
government,1,singular
government,1,singular
government,1,singular
government,1,singular
government,1,singular
government,1,singular
government,1,singular
government,1,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,2,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,3,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,4,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,6,singular
government,6,singular
government,6,singular
