Noun,Distance,Concord
police,1,plural
police,1,plural
police,1,plural
police,1,plural
police,1,plural
police,1,plural
police,1,plural
police,1,plural
police,1,plural
police,1,plural
Police,1,plural
police,1,plural
police,1,plural
police,1,plural
police,1,plural
police,1,plural
police,2,plural
police,2,plural
police,2,plural
police,2,plural
police,4,plural
police,4,plural
police,4,plural
police,4,plural
police,5,plural
police,5,plural
police,5,plural
police,6,plural
police,6,plural
police,6,plural
police,6,plural
police,6,plural
police,7,plural
police,7,plural
police,8,plural
police,8,plural
police,9,plural
police,0,plural 
police,0,plural 
police,1,plural 
police,1,plural 
police,1,plural 
police,1,plural 
police,1,plural 
police,1,plural 
police,1,plural 
police,1,plural 
police,1,plural 
police,1,plural 
police,1,plural 
police,1,plural 
police,1,plural 
police,1,plural 
police,1,plural 
police,1,plural 
police,2,plural 
police,2,plural 
police,2,plural 
police,2,plural 
police,2,plural 
police,2,plural 
police,2,plural 
police,2,plural 
police,2,plural 
police,2,plural 
police,2,plural 
police,2,plural 
police,2,plural 
police,2,plural 
police,2,plural 
police,2,plural 
police,2,plural 
police,2,plural 
police,2,plural 
police,2,plural 
police,3,plural 
police,3,plural 
police,3,plural 
police,3,plural 
police,3,plural 
police,3,plural 
police,3,plural 
police,3,plural 
police,3,plural 
police,3,plural 
police,3,plural 
police,3,plural 
police,3,plural 
police,4,plural 
police,4,plural 
police,4,plural 
police,4,plural 
police,4,plural 
police,4,plural 
police,4,plural 
police,4,plural 
police,4,plural 
police,4,plural 
police,4,plural 
police,4,plural 
police,4,plural 
police,4,plural 
police,4,plural 
police,4,plural 
police,4,plural 
police,5,plural 
police,5,plural 
police,5,plural 
police,5,plural 
police,5,plural 
police,5,plural 
police,5,plural 
police,5,plural 
police,5,plural 
police,5,plural 
police,5,plural 
police,5,plural 
police,5,plural 
police,5,plural 
police,5,plural 
police,5,plural 
police,5,plural 
police,6,plural 
police,6,plural 
police,6,plural 
police,6,plural 
police,6,plural 
police,6,plural 
police,6,plural 
police,6,plural 
police,6,plural 
police,6,plural 
police,6,plural 
police,6,plural 
police,6,plural 
police,6,plural 
police,6,plural 
police,6,plural 
police,6,plural 
police,6,plural 
police,6,plural 
police,6,plural 
police,7,plural 
police,7,plural 
police,7,plural 
police,7,plural 
police,7,plural 
police,7,plural 
police,7,plural 
police,7,plural 
police,7,plural 
police,7,plural 
police,7,plural 
police,7,plural 
police,7,plural 
police,7,plural 
police,7,plural 
police,7,plural 
police,7,plural 
police,7,plural 
police,7,plural 
police,8,plural 
police,8,plural 
police,8,plural 
police,8,plural 
police,8,plural 
police,8,plural 
police,8,plural 
police,8,plural 
police,8,plural 
police,8,plural 
police,8,plural 
police,8,plural 
police,8,plural 
police,8,plural 
police,8,plural 
police,8,plural 
police,8,plural 
police,8,plural 
police,8,plural 
police,8,plural 
police,8,plural 
police,9,plural 
police,9,plural 
police,9,plural 
police,9,plural 
police,9,plural 
police,9,plural 
police,9,plural 
police,9,plural 
police,9,plural 
police,9,plural 
police,9,plural 
police,9,plural 
police,10,plural 
police,10,plural 
police,10,plural 
police,10,plural 
police,10,plural 
police,12,plural 
Police,5,plural  
police,1,singular 
police,2,singular 
police ,3,plural 
